combo_index,card1_name,card2_name,reach_oop,reach_ip,card1_rank,card2_rank,is_pair,is_suited,rank_gap,suit_with_board_c1,suit_with_board_c2,pairs_with_board,overcards,flush_potential,hand_strength,is_blocked,board_rank1,board_rank2,board_rank3,board_rank4,board_suit1,board_suit2,board_suit3,board_suit4,suit_count_club,suit_count_diamond,suit_count_heart,suit_count_spade,board_paired,board_trips,monotone,high_card,connectivity,pot,stack,spr,cfv_oop,cfv_ip
10,2c,4s,0.1452,0.0,0.0,0.1667,0,0,0.1667,0.25,0.25,0,0.0,0.4,0.025,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0272,-0.0
11,2c,5c,0.1862,0.1646,0.0,0.25,0,1,0.25,0.25,0.25,0,0.0,0.6,0.0375,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0337,-0.0257
12,2c,5d,0.0931,0.0561,0.0,0.25,0,0,0.25,0.25,0.25,0,0.0,0.4,0.0375,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0169,-0.0088
13,2c,5h,0.2164,0.0923,0.0,0.25,0,0,0.25,0.25,0.25,0,0.0,0.4,0.0375,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0392,-0.0144
14,2c,5s,0.0435,0.0443,0.0,0.25,0,0,0.25,0.25,0.25,0,0.0,0.4,0.0375,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0079,-0.0069
15,2c,6c,0.2362,0.1874,0.0,0.3333,0,1,0.3333,0.25,0.25,0,0.0,0.6,0.05,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0413,-0.0281
16,2c,6d,0.2281,0.2126,0.0,0.3333,0,0,0.3333,0.25,0.25,0,0.0,0.4,0.05,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0399,-0.0319
17,2c,6h,0.1739,0.2613,0.0,0.3333,0,0,0.3333,0.25,0.25,0,0.0,0.4,0.05,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0304,-0.0392
18,2c,6s,0.1424,0.1771,0.0,0.3333,0,0,0.3333,0.25,0.25,0,0.0,0.4,0.05,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0249,-0.0266
19,2c,7c,0.2742,0.232,0.0,0.4167,0,1,0.4167,0.25,0.25,1,0.0,0.6,0.2958,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0143,-0.0063
20,2c,7d,0.2807,0.2238,0.0,0.4167,0,0,0.4167,0.25,0.25,1,0.0,0.4,0.2958,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0146,-0.0061
21,2c,7h,0.2492,0.1175,0.0,0.4167,0,0,0.4167,0.25,0.25,1,0.0,0.4,0.2958,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.013,-0.0032
22,2c,7s,0.0,0.0,0.0,0.4167,0,0,0.4167,0.25,0.25,1,0.0,0.4,0.0,1,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,0.0,0.0
23,2c,8c,0.1956,0.2079,0.0,0.5,0,1,0.5,0.25,0.25,0,0.0,0.6,0.075,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0318,-0.0286
24,2c,8d,0.166,0.1966,0.0,0.5,0,0,0.5,0.25,0.25,0,0.0,0.4,0.075,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.027,-0.027
25,2c,8h,0.1702,0.2056,0.0,0.5,0,0,0.5,0.25,0.25,0,0.0,0.4,0.075,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0277,-0.0283
26,2c,8s,0.2771,0.223,0.0,0.5,0,0,0.5,0.25,0.25,0,0.0,0.4,0.075,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.045,-0.0307
27,2c,9c,0.2657,0.2336,0.0,0.5833,0,1,0.5833,0.25,0.25,0,0.0,0.6,0.0875,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0415,-0.0307
28,2c,9d,0.2451,0.379,0.0,0.5833,0,0,0.5833,0.25,0.25,0,0.0,0.4,0.0875,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0383,-0.0497
29,2c,9h,0.3213,0.3135,0.0,0.5833,0,0,0.5833,0.25,0.25,0,0.0,0.4,0.0875,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0502,-0.0411
30,2c,9s,0.2259,0.3375,0.0,0.5833,0,0,0.5833,0.25,0.25,0,0.0,0.4,0.0875,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0353,-0.0443
31,2c,Tc,0.4327,0.4759,0.0,0.6667,0,1,0.6667,0.25,0.25,0,0.0,0.6,0.1,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0649,-0.0595
32,2c,Td,0.5979,0.528,0.0,0.6667,0,0,0.6667,0.25,0.25,0,0.0,0.4,0.1,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0897,-0.066
33,2c,Th,0.5114,0.5369,0.0,0.6667,0,0,0.6667,0.25,0.25,0,0.0,0.4,0.1,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0767,-0.0671
34,2c,Ts,0.5686,0.5552,0.0,0.6667,0,0,0.6667,0.25,0.25,0,0.0,0.4,0.1,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0853,-0.0694
35,2c,Jc,0.4458,0.4064,0.0,0.75,0,1,0.75,0.25,0.25,0,0.0,0.6,0.1125,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0641,-0.0483
36,2c,Jd,0.4631,0.4535,0.0,0.75,0,0,0.75,0.25,0.25,0,0.0,0.4,0.1125,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0666,-0.0539
37,2c,Jh,0.4422,0.5886,0.0,0.75,0,0,0.75,0.25,0.25,0,0.0,0.4,0.1125,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0636,-0.0699
38,2c,Js,0.5753,0.4629,0.0,0.75,0,0,0.75,0.25,0.25,0,0.0,0.4,0.1125,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0827,-0.055
39,2c,Qc,0.5311,0.4791,0.0,0.8333,0,1,0.8333,0.25,0.25,0,0.0,0.6,0.125,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.073,-0.0539
40,2c,Qd,0.5829,0.4918,0.0,0.8333,0,0,0.8333,0.25,0.25,0,0.0,0.4,0.125,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0802,-0.0553
41,2c,Qh,0.453,0.4493,0.0,0.8333,0,0,0.8333,0.25,0.25,0,0.0,0.4,0.125,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0623,-0.0505
42,2c,Qs,0.5123,0.4525,0.0,0.8333,0,0,0.8333,0.25,0.25,0,0.0,0.4,0.125,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0704,-0.0509
43,2c,Kc,0.5169,0.5796,0.0,0.9167,0,1,0.9167,0.25,0.25,1,0.0,0.6,0.4708,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,0.0183,0.035
44,2c,Kd,0.0,0.0,0.0,0.9167,0,0,0.9167,0.25,0.25,1,0.0,0.4,0.0,1,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,0.0,0.0
45,2c,Kh,0.4799,0.4439,0.0,0.9167,0,0,0.9167,0.25,0.25,1,0.0,0.4,0.4708,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,0.017,0.0268
46,2c,Ks,0.5995,0.5019,0.0,0.9167,0,0,0.9167,0.25,0.25,1,0.0,0.4,0.4708,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,0.0212,0.0303
47,2c,Ac,0.4182,0.4094,0.0,1.0,0,1,1.0,0.25,0.25,1,0.0,0.6,0.5,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,0.0209,0.0307
48,2c,Ad,0.4219,0.5255,0.0,1.0,0,0,1.0,0.25,0.25,1,0.0,0.4,0.5,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,0.0211,0.0394
49,2c,Ah,0.0,0.0,0.0,1.0,0,0,1.0,0.25,0.25,1,0.0,0.4,0.0,1,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,0.0,0.0
50,2c,As,0.5584,0.4844,0.0,1.0,0,0,1.0,0.25,0.25,1,0.0,0.4,0.5,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,0.0279,0.0363
51,2d,2h,0.2127,0.2763,0.0,0.0,1,0,0.0,0.25,0.25,0,0.0,0.4,0.2,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0213,-0.0207
52,2d,2s,0.3992,0.3058,0.0,0.0,1,0,0.0,0.25,0.25,0,0.0,0.4,0.2,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0399,-0.0229
53,2d,3c,0.0,0.0,0.0,0.0833,0,0,0.0833,0.25,0.25,1,0.0,0.4,0.0,1,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,0.0,0.0
54,2d,3d,0.1359,0.1138,0.0,0.0833,0,1,0.0833,0.25,0.25,1,0.0,0.6,0.1792,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.015,-0.0097
55,2d,3h,0.0,0.0858,0.0,0.0833,0,0,0.0833,0.25,0.25,1,0.0,0.4,0.1792,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,0.0,0.0
56,2d,3s,0.078,0.0491,0.0,0.0833,0,0,0.0833,0.25,0.25,1,0.0,0.4,0.1792,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0086,-0.0042
57,2d,4c,0.0367,0.1115,0.0,0.1667,0,0,0.1667,0.25,0.25,0,0.0,0.4,0.025,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0069,-0.0181
58,2d,4d,0.0056,0.0703,0.0,0.1667,0,1,0.1667,0.25,0.25,0,0.0,0.6,0.025,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0011,-0.0114
59,2d,4h,0.0741,0.1741,0.0,0.1667,0,0,0.1667,0.25,0.25,0,0.0,0.4,0.025,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0139,-0.0283
60,2d,4s,0.1585,0.036,0.0,0.1667,0,0,0.1667,0.25,0.25,0,0.0,0.4,0.025,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0297,-0.0059
61,2d,5c,0.1251,0.0607,0.0,0.25,0,0,0.25,0.25,0.25,0,0.0,0.4,0.0375,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0227,-0.0095
62,2d,5d,0.2075,0.1991,0.0,0.25,0,1,0.25,0.25,0.25,0,0.0,0.6,0.0375,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0376,-0.0311
63,2d,5h,0.0847,0.1528,0.0,0.25,0,0,0.25,0.25,0.25,0,0.0,0.4,0.0375,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0153,-0.0239
64,2d,5s,0.1468,0.0556,0.0,0.25,0,0,0.25,0.25,0.25,0,0.0,0.4,0.0375,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0266,-0.0087
65,2d,6c,0.2192,0.1745,0.0,0.3333,0,0,0.3333,0.25,0.25,0,0.0,0.4,0.05,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0384,-0.0262
66,2d,6d,0.2224,0.1727,0.0,0.3333,0,1,0.3333,0.25,0.25,0,0.0,0.6,0.05,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0389,-0.0259
67,2d,6h,0.0668,0.1315,0.0,0.3333,0,0,0.3333,0.25,0.25,0,0.0,0.4,0.05,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0117,-0.0197
68,2d,6s,0.0706,0.2525,0.0,0.3333,0,0,0.3333,0.25,0.25,0,0.0,0.4,0.05,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0123,-0.0379
69,2d,7c,0.2841,0.2747,0.0,0.4167,0,0,0.4167,0.25,0.25,1,0.0,0.4,0.2958,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0148,-0.0074
70,2d,7d,0.1698,0.1199,0.0,0.4167,0,1,0.4167,0.25,0.25,1,0.0,0.6,0.2958,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0088,-0.0032
71,2d,7h,0.2839,0.2977,0.0,0.4167,0,0,0.4167,0.25,0.25,1,0.0,0.4,0.2958,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0148,-0.0081
72,2d,7s,0.0,0.0,0.0,0.4167,0,0,0.4167,0.25,0.25,1,0.0,0.4,0.0,1,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,0.0,0.0
73,2d,8c,0.1671,0.2472,0.0,0.5,0,0,0.5,0.25,0.25,0,0.0,0.4,0.075,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0272,-0.034
74,2d,8d,0.1638,0.3021,0.0,0.5,0,1,0.5,0.25,0.25,0,0.0,0.6,0.075,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0266,-0.0415
75,2d,8h,0.3032,0.1757,0.0,0.5,0,0,0.5,0.25,0.25,0,0.0,0.4,0.075,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0493,-0.0242
76,2d,8s,0.2451,0.26,0.0,0.5,0,0,0.5,0.25,0.25,0,0.0,0.4,0.075,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0398,-0.0357
77,2d,9c,0.2447,0.3662,0.0,0.5833,0,0,0.5833,0.25,0.25,0,0.0,0.4,0.0875,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0382,-0.0481
78,2d,9d,0.2763,0.234,0.0,0.5833,0,1,0.5833,0.25,0.25,0,0.0,0.6,0.0875,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0432,-0.0307
79,2d,9h,0.2995,0.3377,0.0,0.5833,0,0,0.5833,0.25,0.25,0,0.0,0.4,0.0875,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0468,-0.0443
80,2d,9s,0.2319,0.254,0.0,0.5833,0,0,0.5833,0.25,0.25,0,0.0,0.4,0.0875,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0362,-0.0333
81,2d,Tc,0.599,0.53,0.0,0.6667,0,0,0.6667,0.25,0.25,0,0.0,0.4,0.1,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0899,-0.0662
82,2d,Td,0.4876,0.5035,0.0,0.6667,0,1,0.6667,0.25,0.25,0,0.0,0.6,0.1,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0731,-0.0629
83,2d,Th,0.4242,0.4449,0.0,0.6667,0,0,0.6667,0.25,0.25,0,0.0,0.4,0.1,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0636,-0.0556
84,2d,Ts,0.4676,0.5177,0.0,0.6667,0,0,0.6667,0.25,0.25,0,0.0,0.4,0.1,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0701,-0.0647
85,2d,Jc,0.446,0.444,0.0,0.75,0,0,0.75,0.25,0.25,0,0.0,0.4,0.1125,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0641,-0.0527
86,2d,Jd,0.4142,0.5262,0.0,0.75,0,1,0.75,0.25,0.25,0,0.0,0.6,0.1125,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0595,-0.0625
87,2d,Jh,0.4458,0.5811,0.0,0.75,0,0,0.75,0.25,0.25,0,0.0,0.4,0.1125,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0641,-0.069
88,2d,Js,0.5719,0.4142,0.0,0.75,0,0,0.75,0.25,0.25,0,0.0,0.4,0.1125,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0822,-0.0492
